编号,URL,应保存文件名,实际保存文件名,状态,备注
1,https://www.iso.org/standard/37456.html,[01]_ISO14040_20260228.png,,,"ISO 14040:2006 标准页面截图"
2,https://www.iso.org/standard/38498.html,[02]_ISO14044_20260228.png,,,"ISO 14044:2006 标准页面截图"
3,https://www.iso.org/standard/71206.html,[03]_ISO14067_20260228.png,,,"ISO 14067:2018 标准页面截图"
4,https://ghgprotocol.org/sites/default/files/standards/Product-Life-Cycle-Accounting-Reporting-Standard_041613.pdf,[04]_GHGProtocol_Product_20260228.pdf,,,"PDF封面页截图"
5,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/t20251024_1130734.html,[05]_MEE_2024CFP_Notice_20260228.png,,,"生态环境部2024电力碳足迹公告页"
6,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251231_1139517.html,[06]_MEE_2023CO2_Notice_20260228.png,,,"生态环境部2023电力CO2公告页"
7,https://publications.vtt.fi/pdf/tiedotteet/2010/T2538.pdf,[07]_VTT_T2538_20260228.pdf,,,"VTT T2538 PDF封面"
8,https://publications.vtt.fi/pdf/tiedotteet/2010/T2560.pdf,[08]_VTT_T2560_20260228.pdf,,,"VTT T2560 PDF封面"
9,https://library.imaging.org/print4fab/articles/26/1/art00026_1,[09]_IST_NIP26_Art26_20260228.png,,,"IS&T NIP26会议论文页面"
10,https://doi.org/10.1016/j.jclepro.2008.03.006,[10]_JCleanerProd_2009_20260228.png,,,"Journal of Cleaner Production论文页面"
11,https://twosidesna.org/wp-content/uploads/sites/16/2018/05/Printing_and_Writing_Papers_-_Life-Cycle_Assessment_Summary_Report.pdf,[11]_TwoSides_LCA_20260228.pdf,,,"Two Sides LCA报告PDF封面"
12,https://bioresources.cnr.ncsu.edu/resources/life-cycle-carbon-footprint-analysis-of-pulp-and-paper-grades-in-the-united-states-using-production-line-based-data-and-integration/,[12]_BioResources_2020_20260228.png,,,"BioResources论文页面"
13,https://urbansustainability.seas.umich.edu/wp-content/uploads/2014/08/2009_Vos-and-Newell_A-Comparative-Analysis-of-Carbon-Dioxide-Emissions-in-Coated-Paper-Production.pdf,[13]_UMich_CoatedPaper_20260228.pdf,,,"Vos & Newell论文PDF封面"
14,https://library.imaging.org/print4fab/articles/26/1/art00025_1,[14]_IST_NIP26_Art25_20260228.png,,,"IS&T NIP26会议论文页面"
15,https://big5.mee.gov.cn/gate/big5/www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/W020251024569470952545.pdf,[15]_MEE_2024CFP_Attachment_20260228.pdf,,,"2024电力碳足迹因子PDF附件"
16,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,[16]_MEE_2023CO2_Attachment_20260228.pdf,,,"2023电力CO2排放因子PDF附件"
17,https://www.iso.org/standard/37456.html,[17]_ISO14040_Status_20260228.png,,,"ISO 14040状态页截图（备用）"
18,https://www.iso.org/standard/38498.html,[18]_ISO14044_Status_20260228.png,,,"ISO 14044状态页截图（备用）"
19,https://www.iso.org/standard/71206.html,[19]_ISO14067_Status_20260228.png,,,"ISO 14067状态页截图（备用）"
20,https://www.iso.org/standard/90578.html,[20]_ISO14067_WD_Status_20260228.png,,,"ISO/WD 14067状态页截图（备用）"
